game_pk,game_date,home_team,away_team,home_starter_name,away_starter_name,season,home_score,away_score,actual_game_total,actual_f5_total,actual_f3_total,actual_f1_total,actual_home_win,year,series_game_number,game_month,game_day_of_week,home_sp_k_pct,home_sp_bb_pct,home_sp_xwoba_against,home_sp_gb_pct,home_sp_xrv_per_pitch,home_sp_k_minus_bb,home_sp_ff_velo,home_sp_age_pit,home_sp_arm_angle,home_sp_p_throws_R,home_sp_whiff_pctl,home_sp_fb_spin_pctl,home_sp_fb_velo_pctl,home_sp_xera_pctl,home_sp_il_return_flag,home_sp_starts_since_il,home_sp_k_pct_10d,home_sp_bb_pct_10d,home_sp_xwoba_10d,home_sp_babip_game,home_sp_velo_decay,away_sp_k_pct,away_sp_bb_pct,away_sp_xwoba_against,away_sp_gb_pct,away_sp_xrv_per_pitch,away_sp_k_minus_bb,away_sp_ff_velo,away_sp_age_pit,away_sp_arm_angle,away_sp_p_throws_R,away_sp_whiff_pctl,away_sp_fb_spin_pctl,away_sp_fb_velo_pctl,away_sp_xera_pctl,away_sp_il_return_flag,away_sp_starts_since_il,away_sp_k_pct_10d,away_sp_bb_pct_10d,away_sp_xwoba_10d,away_sp_babip_game,away_sp_velo_decay,sp_k_pct_diff,sp_xwoba_diff,sp_xrv_diff,sp_velo_diff,sp_age_diff,sp_kminusbb_diff,sp_k_pct_10d_diff,sp_xwoba_10d_diff,sp_bb_pct_10d_diff,home_sp_form_talent_ratio,away_sp_form_talent_ratio,sp_form_talent_ratio_diff,home_sp_babip_luck,away_sp_babip_luck,sp_babip_luck_diff,sp_velo_decay_diff,home_bat_xwoba_vs_rhp,home_bat_xwoba_vs_lhp,home_bat_k_vs_rhp,home_bat_k_vs_lhp,home_bat_bb_vs_rhp,home_bat_bb_vs_lhp,home_bat_gb_pct,home_bat_fb_pct,home_bat_xwoba_vs_rhp_10d,home_bat_xwoba_vs_lhp_10d,away_bat_xwoba_vs_rhp,away_bat_xwoba_vs_lhp,away_bat_k_vs_rhp,away_bat_k_vs_lhp,away_bat_bb_vs_rhp,away_bat_bb_vs_lhp,away_bat_gb_pct,away_bat_fb_pct,away_bat_xwoba_vs_rhp_10d,away_bat_xwoba_vs_lhp_10d,home_bat_vs_away_sp,away_bat_vs_home_sp,batting_matchup_edge,home_bat_vs_away_sp_10d,away_bat_vs_home_sp_10d,batting_matchup_edge_10d,home_team_home_wp10,away_team_away_wp10,win_pct_venue_edge,home_elo,away_elo,elo_diff,home_bp_era,home_bp_k9,home_bp_bb9,home_bp_hr9,home_bp_whip,home_bp_gb_pct,away_bp_era,away_bp_k9,away_bp_bb9,away_bp_hr9,away_bp_whip,away_bp_gb_pct,bp_era_diff,bp_k9_diff,bp_whip_diff,home_bp_fatigue_72h,away_bp_fatigue_72h,bp_fatigue_diff,home_sp_pitches_last_start,home_sp_velo_diff_l14,home_is_opener_flag,away_sp_pitches_last_start,away_sp_velo_diff_l14,away_is_opener_flag,air_density_rho,roof_closed_flag,home_bp_top3_fatigue_3d,away_bp_top3_fatigue_3d,bp_top3_fatigue_diff,ump_called_strike_above_avg,home_lineup_opp_hand_count,away_lineup_opp_hand_count,lineup_opp_hand_diff,home_sp_k_line,home_sp_k_line_implied,away_sp_k_line,away_sp_k_line_implied,sp_k_line_diff,home_off_cluster,away_off_cluster,home_bp_cluster,away_bp_cluster,home_park_factor,ump_k_above_avg,ump_bb_above_avg,ump_rpg_above_avg,close_total,close_ml_home,close_ml_away,true_home_prob,true_away_prob,game_hour_et,is_day_game,away_game_local_hour,home_game_local_hour,circadian_edge,home_sp_k_bb_ratio,away_sp_k_bb_ratio,sp_k_bb_ratio_diff,home_sp_k_bb_ratio_10d,away_sp_k_bb_ratio_10d,sp_k_bb_ratio_10d_diff,home_sp_vs_lineup_quality,away_sp_vs_lineup_quality,sp_lineup_quality_diff,home_sp_vs_lineup_10d,away_sp_vs_lineup_10d,sp_lineup_quality_10d_diff,home_sp_fatigue_signal,away_sp_fatigue_signal,sp_fatigue_diff,ump_command_edge_home,ump_command_edge_away,ump_command_net_edge,home_bullpen_vulnerability,away_bullpen_vulnerability,bullpen_vulnerability_diff,home_sp_circadian_age_adj,away_sp_circadian_age_adj,circadian_age_net,mc_expected_runs,home_margin,home_covers_rl,away_covers_rl,total_runs,split,mc_f5_home_win_pct,mc_f5_away_win_pct,mc_f5_tie_pct,mc_f5_expected_total,mc_f5_home_cover_pct
823882,2026-04-18,MIA,MIL,SANDY ALCANTARA,BRANDON WOODRUFF,2026,2.0,5.0,,,,,0,2026,2,4,5,0.1867112006629504,0.05414606823464649,0.25249329912989504,0.47950664875782617,0.022981606374575563,0.1325651324283039,97.2,31.0,,1.0,0.53,0.51,0.87,0.91,0.0,0.0,0.13333333333333333,0.06666666666666667,0.4037017333333333,0.19967627902991314,1.5705163805700633,0.24553563686715874,0.024979507833055137,0.2660628724074638,0.3269193742723199,0.005400924480366521,0.2205561290341036,92.4,33.0,,1.0,0.33,0.71,0.2,0.79,0.0,0.0,0.2727272727272727,0.0,0.22690909090909092,0.22452353304089034,2.643657589896699,-0.058824436204208325,0.013569573277568747,0.01758068189420904,4.799999999999997,-2.0,-0.0879909966057997,-0.13939393939393938,-0.1767926424242424,0.06666666666666667,1.5186390011140807,0.8219471489602456,0.7109020454695276,-0.09532372097008684,-0.07047646695910964,-0.024847254010977204,-1.073141209326636,0.3086863652722092,0.26926430299745485,0.2198135236818389,0.2785453884451098,0.09553444654257004,0.09112714414722409,0.43549543409040486,0.26357724900009505,0.3031643456297738,0.233079765625,0.33255291946344334,0.2504094400109557,0.21446317784147276,0.29485348738505085,0.1234254527161667,0.10526425159066151,0.5073098405950521,0.20313617234395234,0.33642272564126485,0.22099724394762846,0.3086863652722092,0.33255291946344334,-0.023866554191234124,0.3031643456297738,0.33642272564126485,-0.03325838001149106,0.6,0.625,-0.025000000000000022,1482.6181661149756,1527.8062981965693,-45.18813208159372,3.5726151315789467,10.934029605263158,5.302821576763485,0.5733076640997432,1.3242763157894735,0.4472317865313221,4.793801801801803,7.777783783783784,4.439675675675675,0.5733076640997432,1.5180900900900902,0.5823523621989096,-1.2211866702228562,2.7693704450390437,-0.19381377430061675,141.0,168.0,27.0,100.0,,0,74.0,,0,,,74.0,71.0,-3.0,0.0,2,2,0,3.5,0.48987854251012153,3.5,0.4796954314720812,0.0,1,0,1,3,0.978,,,,,,,,,,,,,,2.9107193285792725,7.019413710421936,-4.108694381842663,1.7391304347826089,27.27272727272727,-25.53359683794466,0.0839673837706031,0.08212998101734356,0.00183740275325954,0.13581443747410307,0.0687907460629014,0.06702369141120167,97.2,92.4,4.799999999999997,,,,1.1880835921258526,1.479781254033566,-0.2916976619077134,,,,7.774566650390625,-3.0,0,1,7.0,val,0.4295,0.3692,0.2012,3.7360000610351562,0.6308
823394,2026-04-18,PIT,TB,PAUL SKENES,DREW RASMUSSEN,2026,7.0,8.0,,,,,0,2026,2,4,5,0.27407272436133717,0.07590646937593895,0.2327896055387068,0.5259357235079868,0.019048725008829058,0.19816625498539825,97.3,24.0,,1.0,0.55,0.57,0.87,0.87,0.0,0.0,0.3,0.05,0.2290763,0.13025158888032104,2.217755332525754,0.3015418947808666,0.017750867702445085,0.24572280141491612,0.42736385313910497,0.027611365259635024,0.2837910270784216,96.0,31.0,,1.0,0.37,0.92,0.7,0.86,0.0,0.0,0.3684210526315789,0.0,0.17331578947368423,0.14285714285714285,0.8869192848185241,-0.027469170419529454,0.012933195876209308,-0.008562640250805966,1.2999999999999972,-7.0,-0.08562477209302333,-0.06842105263157894,-0.05576051052631578,0.05,0.9435177403568022,0.6777486736213069,0.2657690667354954,-0.16474841111967894,-0.15214285714285714,-0.044532055953125954,1.3308360477072299,0.35498439998594983,0.3017944489504992,0.20966261724023275,0.2773458989520195,0.10306826658405606,0.10590243332317607,0.4587207583041092,0.25004987625231956,0.38130887218207626,0.25615346949958,0.3113918601343106,0.2871327646684551,0.18150529789213285,0.17864104201063413,0.09259160407842859,0.07714301021733606,0.4237540079492178,0.21369383500000927,0.29467938847231023,0.28374665813834155,0.35498439998594983,0.3113918601343106,0.043592539851639245,0.38130887218207626,0.29467938847231023,0.08662948370976603,0.6,0.6,0.0,1526.3274127815043,1520.0723025833056,6.255110198198736,3.243839891451832,8.710407055630938,4.788249660786975,1.0850746268656717,1.3553867028493896,0.48015221717585055,5.103873015873016,7.849698412698412,4.2710317460317455,1.4948835516739445,1.3327301587301585,0.4383249040356883,-1.860033124421184,0.8607086429325257,0.022656544119231015,236.0,240.0,4.0,88.0,,0,76.0,,0,,,39.0,121.0,82.0,0.0,4,2,2,,,,,,0,1,1,1,1.012,,,,,,,,,,,,,,3.190361870908184,10.866034821473285,-7.675672950565101,4.999999999999999,36.84210526315789,-31.84210526315789,0.07248878828863033,0.0872277612231407,-0.014738972934510375,0.06750406399749949,0.0660868482155567,0.0014172157819427877,97.3,96.0,1.2999999999999972,,,,1.0101053377770661,1.8117953001441627,-0.7846605646214997,,,,7.418066501617432,-1.0,0,1,15.0,val,0.4195,0.3627,0.2179,3.3959999084472656,0.6373
823474,2026-04-18,PHI,ATL,CRISTOPHER SÁNCHEZ,CHRIS SALE,2026,1.0,3.0,,,,,0,2026,2,4,5,0.3213919025823684,0.07258851573602934,0.27719383911426815,0.6097863388835546,-0.00036747918431924204,0.24880338684633907,,30.0,,0.0,0.77,0.18,0.56,0.76,0.0,0.0,0.3076923076923077,0.11538461538461539,0.245753,0.38613020441713264,0.504823151967375,0.24855939860487267,0.06321722294061818,0.31217045682947314,0.42706244313031466,0.003524332160424923,0.18534217566425448,95.2,37.0,,0.0,0.41,0.47,0.59,0.55,0.0,0.0,0.23076923076923078,0.038461538461538464,0.3113663846153846,0.23685232008672943,-0.31244143095980664,0.07283250397749572,0.034976617715204994,-0.0038918113447441653,,-7.0,0.06346121118208459,0.07692307692307693,0.06561338461538457,0.07692307692307693,0.8557042893326839,0.9664647332334161,-0.11076044390073214,0.09113020441713265,-0.05814767991327055,0.1492778843304032,0.8172645829271816,0.3219094267490072,0.296232613202099,0.20063428486263288,0.2479754943491249,0.08154549882390605,0.11221379783989792,0.41871947703984863,0.29328285059516235,0.33134913107188824,0.28414017197798414,0.3578443213103623,0.3092493467255424,0.21535128685180008,0.16271274009868258,0.07986249182724885,0.07194142582186705,0.40680711164805344,0.2811180116875429,0.36680844296299187,0.36042459075448363,0.296232613202099,0.3092493467255424,-0.013016733523443402,0.28414017197798414,0.36042459075448363,-0.0762844187764995,0.4,0.625,-0.22499999999999998,1480.4667808642953,1546.1265527830567,-65.65977191876141,4.356441515650741,9.825601317957167,2.7449399609047758,0.7202306425041186,1.2524546952224054,0.5129536718086966,2.463791712504584,8.328077669902912,2.7449399609047758,0.5733076640997432,1.0125559222588927,0.4351141989754512,1.962055899992909,1.4975236480542549,0.3217168311447356,140.0,110.0,-30.0,96.0,,0,97.0,,0,,,64.0,81.0,17.0,0.0,3,2,1,6.5,0.4858586090137293,7.5,0.49594727396653765,-1.0,3,1,2,2,1.04,,,,,,,,,,,,,,3.8914841817669426,3.3948214453102565,0.496662736456686,2.4539877300613497,4.761904761904762,-2.307917031843412,0.08572201366243253,0.09247507019108786,-0.006753056528655335,0.08857542445168662,0.08847169807277852,0.00010372637890809777,,95.2,,,,,1.5589278574963255,0.7498771830638763,0.7565603291432157,,,,8.420533180236816,-2.0,0,1,4.0,val,0.4752,0.3469,0.1779,4.578000068664551,0.6531
823558,2026-04-18,NYY,KC,WILL WARREN,NOAH CAMERON,2026,13.0,4.0,,,,,1,2026,2,4,5,0.260180370228504,0.07338373078525573,0.31104067413755876,0.5751964060615615,0.002030906869184159,0.18679663944324829,93.9,27.0,,1.0,0.32,0.92,0.4,0.62,0.0,0.0,0.2851662404092072,0.09462915601023017,0.3424073606138107,0.2905454507480002,1.1600094394853968,0.2078695229411037,0.061825052879834315,0.3595989524080424,0.24986091974369032,-0.006901012482883955,0.14604447006126942,91.7,27.0,,0.0,0.31,0.55,0.08,0.25,0.0,0.0,0.17391304347826086,0.08695652173913043,0.41769791304347825,0.28156729025186894,1.456458373552928,0.05231084728740029,0.048558278270483646,0.008931919352068114,2.200000000000003,0.0,0.04075216938197887,0.11125319693094632,0.07529055242966753,0.0076726342710997375,1.0665544530569258,1.130138249370182,-0.06358379631325617,-0.004454549251999784,-0.013432709748131044,0.00897816049613126,-0.29644893406753114,0.3426749930353613,0.28473058329332895,0.2557030936265471,0.3104962091562391,0.12094447382024102,0.1149378892884936,0.41195128818089843,0.3021579997848818,0.33062386797645543,0.2997368964104257,0.29598147411694153,0.27059045280178445,0.24684622649916982,0.2609439480125215,0.0913361995363031,0.054828011875930754,0.3771710684624033,0.2714272358334175,0.26394555878108356,0.28147084208333334,0.28473058329332895,0.29598147411694153,-0.01125089082361258,0.2997368964104257,0.26394555878108356,0.03579133762934217,0.5,0.2,0.3,1533.4139618819527,1441.335812792017,92.07814908993578,4.125112781954887,8.463984962406016,3.3003308270676692,0.5733076640997432,1.387669172932331,0.49625818933298155,4.815428571428571,9.252125000000001,5.2720714285714285,1.4166607142857142,1.410375,0.4770023160779463,-0.6903157894736838,-0.7881400375939851,-0.022705827067668993,174.0,148.0,-26.0,89.0,,0,67.0,,0,,,103.0,105.0,2.0,0.0,3,2,1,,,,,,3,2,3,1,0.998,,,,,,,,,,,,,,3.1202773943824327,2.8941088743627694,0.22616852001966326,2.725494989000245,1.7937219730941705,0.9317730159060746,0.0920622772415619,0.10238881947081195,-0.010326542229250057,0.09037690212796826,0.12519947609276405,-0.034822573964795794,93.9,91.7,2.200000000000003,,,,1.2209569621016452,1.6501269521765654,-0.4291699900749202,,,,10.057000160217285,9.0,1,0,17.0,val,0.4988,0.349,0.1522,5.617000102996826,0.651
824372,2026-04-18,COL,LAD,RYAN FELTNER,EMMET SHEEHAN,2026,4.0,3.0,,,,,1,2026,2,4,5,0.1911147703679896,0.10785475162046335,0.4116848403182039,0.395806718182782,-0.01673032196552401,0.08326001874752625,94.9,30.0,,1.0,0.22,0.84,0.59,0.02,0.0,0.0,0.19047619047619047,0.14285714285714285,0.4523608571428571,0.27788792384666045,2.5708754260574804,0.23815927427513991,0.08879262951688877,0.359926665265718,0.4137587518855813,-0.007922117914043948,0.14936664475825115,94.2,27.0,,1.0,0.79,0.78,0.49,0.2,0.0,0.0,0.2727272727272727,0.045454545454545456,0.3282966363636364,0.279092429179848,0.8594119773069646,-0.047044503907150315,-0.05175817505248592,-0.008808204051480063,0.7000000000000028,3.0,-0.0661066260107249,-0.08225108225108224,-0.12406422077922075,0.0974025974025974,1.072746311680318,0.8874641035347403,0.18528220814557772,-0.01711207615333954,-0.015907570820151984,-0.0012045053331875555,1.7114634487505158,0.299175837724469,0.2944520723041053,0.2730245144111351,0.31970680902527737,0.08739914579067853,0.06422196339711969,0.418248122681651,0.24537254776203485,0.29530824270504186,0.35704382187336475,0.3675191010095711,0.33601341802239226,0.23889982984593267,0.26336284012215594,0.0822534143536195,0.14692495581750667,0.3776568270595527,0.30115913746453593,0.35677891440055,0.37045995025641026,0.299175837724469,0.37425097428118564,-0.07507513655671666,0.29530824270504186,0.35677891440055,-0.06147067169550813,0.5714285714285714,0.8888888888888888,-0.31746031746031744,1411.0891108507512,1602.618455234288,-191.52934438353668,3.6669839142091156,8.892319034852548,3.8859383378016084,1.1769571045576406,1.3030428954423594,0.5032823060168905,3.154423440453686,10.012873345935725,3.4685822306238183,0.5733076640997432,1.1517202268431002,0.42922444970426726,0.5125604737554297,-1.1205543110831773,0.15132266859925925,199.0,76.0,-123.0,82.0,,0,77.0,,0,,,46.0,31.0,-15.0,0.0,3,3,0,,,,,,2,3,3,0,1.281,,,,,,,,,,,,,,1.6216127711460553,2.4106988086031884,-0.7890860374571331,1.2461059190031152,4.918032786885245,-3.6719268678821297,0.14686661169016205,0.1076813616002457,0.046392090985636444,0.16139281552873083,0.0969487027705216,0.06444411275820923,94.9,94.2,0.7000000000000028,,,,1.3723723025661971,0.9437272753354331,0.42864502723076403,,,,15.12636661529541,1.0,0,1,7.0,val,0.3658,0.5288,0.1054,9.229000091552734,0.4712
823150,2026-04-19,SEA,TEX,BRYAN WOO,MACKENZIE GORE,2026,5.0,2.0,,,,,1,2026,3,4,6,0.1981300127779165,0.05323883991225088,0.24276245206691952,0.3288209856316678,0.016939276197856117,0.1448911728656656,95.4,26.0,,1.0,0.44,0.38,0.63,0.91,0.0,0.0,0.10344827586206896,0.034482758620689655,0.2729836551724138,0.24645452297558293,0.2135621230956833,0.3599611611836664,0.1444387352721951,0.2828124866796445,0.5877131513970594,0.011770691718041643,0.21552242591147125,95.7,27.0,,0.0,0.69,0.4,0.68,0.74,0.0,0.0,0.23809523809523808,0.25,0.335436,0.22626799027944722,1.1937503034580137,-0.1618311484057499,0.040050034612724966,0.005168584479814473,-0.29999999999999716,-1.0,-0.07063125304580564,-0.13464696223316913,0.062452344827586215,-0.1946240896358543,1.080000818713931,1.1455659005655328,-0.06556508185160181,-0.048545477024417055,-0.06873200972055277,0.02018653269613571,-0.9801881803623305,0.3279298052836324,0.253694126137937,0.26367951744062407,0.2860601190575833,0.10381898918653847,0.09734550233401688,0.4118359541369664,0.2609378988417641,0.37018036452948844,0.2462812925925926,0.32796111801242644,0.22923916950255277,0.22856295661611845,0.36321425607267066,0.09121827952614917,0.09198939867070863,0.41780890302541035,0.26295452348914533,0.34180182769031514,0.223704246993747,0.253694126137937,0.32796111801242644,-0.07426699187448943,0.2462812925925926,0.34180182769031514,-0.09552053509772254,0.7,0.4,0.29999999999999993,1490.6631123277239,1519.473106368887,-28.809994041163236,3.2083783783783786,9.158213213213212,3.1895795795795796,0.5733076640997432,1.3273723723723723,0.4614812867521846,2.8758777429467086,7.64923197492163,4.096128526645768,0.815705329153605,1.3238714733542318,0.39882557633753807,0.33250063543166997,1.5089812382915824,0.0035008990181404354,200.0,205.0,5.0,92.0,,0,94.0,,0,,,118.0,46.0,-72.0,0.0,4,2,2,6.5,0.46508081841685894,6.5,0.5027501425858776,0.0,2,2,2,1,0.968,,,,,,,,,,,,,,3.1330431274963026,2.330769936371482,0.8022731911248204,2.325581395348837,0.8051529790660226,1.5204284162828143,0.07961664519130501,0.07174786666908936,0.007868778522215653,0.09330631226751379,0.0826116116620889,0.010694700605424892,95.4,95.7,-0.29999999999999716,,,,1.0522233599798687,0.9430860282640464,0.1091373317158223,,,,7.80709981918335,3.0,1,0,7.0,val,0.479,0.3207,0.2002,3.822999954223633,0.6793
824777,2026-04-19,BOS,DET,GARRETT CROCHET,FRAMBER VALDEZ,2026,2.0,6.0,,,,,0,2026,3,4,6,0.2175563049742936,0.08788345755782126,0.3859345423571775,0.42640390117527016,-0.036484199936411735,0.12967284741647234,95.9,27.0,,0.0,0.31,0.76,0.68,0.23,0.0,0.0,0.0,0.16666666666666666,0.5512538732335148,0.3523671177372645,0.5644571137465546,0.12069651910823821,0.06951188651387871,0.2794764471022356,0.5858980882883679,0.009534899496112765,0.05118463259435947,,33.0,,0.0,0.05,0.26,0.44,0.72,0.0,0.0,0.038461538461538464,0.07692307692307693,0.223502,0.2650314041894394,1.0520629975692033,0.09685978586605538,-0.10645809525494188,-0.046019099432524496,,-6.0,0.07848821482211286,-0.038461538461538464,-0.2868001785383596,0.08974358974358973,1.4577467132360062,0.7720904489375083,0.6856562642984979,0.057367117737264495,-0.029968595810560605,0.0873357135478251,-0.4876058838226487,0.3146870117046328,0.3427538373844671,0.22770607544307703,0.20005557036548677,0.08499838899977673,0.07153251072049904,0.48146309001362037,0.21373034462836207,0.32316290365231487,0.3687218575975749,0.340101654349765,0.308899642730442,0.21975349683867998,0.2674116822218664,0.0878220154465486,0.1059508072400116,0.4039049310808292,0.31176461900281616,0.3527751383767759,0.26674224384446205,0.3427538373844671,0.308899642730442,0.03385419465402506,0.3687218575975749,0.26674224384446205,0.10197961375311287,0.5,0.1,0.4,1497.7482983321447,1497.3723162252966,0.3759821068481415,3.539096477794793,8.176370597243489,3.9666309341500763,1.4948835516739445,1.1550995405819293,0.5130928680813824,3.2480864197530868,8.195447530864199,4.761234567901235,0.9379320987654322,1.3189197530864196,0.5363650179506957,0.2910100580417061,-0.019076933620709724,-0.1638202125044903,98.0,148.0,50.0,55.0,,0,87.0,,0,,,60.0,68.0,8.0,0.0,4,4,0,7.5,0.43884830901151795,5.5,0.43540337650884586,2.0,0,3,3,1,1.078,,,,,,,,,,,,,,2.2226054371422235,1.517968248523078,0.7046371886191454,0.0,0.4424778761061947,-0.4424778761061947,0.11921504225146877,0.09579162470286828,0.023423417548600486,0.1539562284592636,0.08241007261677319,0.07154615584249041,95.9,,,,,,1.2036525670014355,1.0221306091904985,0.18152195781093705,,,,9.677833557128906,-4.0,0,1,8.0,val,0.2675,0.5892,0.1433,5.482999801635742,0.4108
822750,2026-04-19,WSH,SF,PJ POULIN,ROBBIE RAY,2026,3.0,0.0,,,,,1,2026,3,4,6,,,,,,,,,,,,,,,,,,,,,,0.2890897936471888,0.13302081699924195,0.35404194018152946,0.255929587987495,0.008935950048616437,0.15606897664794686,93.6,35.0,,0.0,0.74,0.74,0.36,0.4,0.0,0.0,0.35294117647058826,0.23529411764705882,0.48141788235294114,0.14285714285714285,0.35420685970106863,,,,,,,,,,,1.322424229782102,,,-0.15214285714285714,,,0.32185224025740017,0.31701709502308767,0.194429289916863,0.28562684894788387,0.07635422568675432,0.0684839413562217,0.47191124021635705,0.23304787335994134,0.3224573454780581,0.3184436716049383,0.29819830966782557,0.2830491239317397,0.2023611824675824,0.25402765884036577,0.04931100641147079,0.04857693983082147,0.43449453013523626,0.25909158488869477,0.3395767298118655,0.29343654973544975,0.31701709502308767,0.2830491239317397,0.03396797109134797,0.3184436716049383,0.29343654973544975,0.025007121869488558,0.125,0.5,-0.375,1468.286680394145,1485.8847975412787,-17.598117147133735,4.885723114956736,8.034042027194069,4.114066749072929,1.4948835516739445,1.4211372064276884,0.5202654061083368,3.037553956834532,9.694920863309353,4.085381294964029,0.8817985611510791,1.1722158273381293,0.49701850959423843,1.8481691581222042,-1.660878836115284,0.24892137908955903,298.0,176.0,-122.0,49.0,,0,94.0,,0,,,91.0,127.0,36.0,0.0,2,2,0,,,,,,0,1,3,2,0.99,,,,,,,,,,,,,,,2.0213126991766592,,,1.4388489208633095,,,0.11223734739268625,,,0.1533044780327448,,,93.6,,,,,1.456914374385122,0.9776435459099243,0.47927082847519775,,,,9.880833625793457,3.0,1,0,3.0,val,0.4719,0.3744,0.1537,5.5970001220703125,0.6256
824047,2026-04-19,LAA,SD,WALBERT URENA,MICHAEL KING,2026,1.0,2.0,,,,,0,2026,3,4,6,0.1,0.1,0.3551479,0.639784250666139,-0.03766091468728293,0.0,,23.0,,1.0,,,,,0.0,0.0,,,,0.4523695488883114,,0.21263664340701732,0.1068486855961966,0.3393909353117564,0.4475582163555602,0.00424122935197806,0.1057879578108207,93.7,31.0,,1.0,0.6,0.47,0.26,0.36,0.0,0.0,0.2,0.08,0.32924391999999997,0.24265303372599867,-0.1723147760452604,-0.11263664340701732,-0.015756964688243613,-0.05036329190431155,,-9.0,-0.1057879578108207,,,,,0.942336754404405,,0.15736954888831142,-0.052346966274001316,0.21972595372531153,,0.3370255978627916,0.2886087079470808,0.24671695451000783,0.22841505402958612,0.11890268052594212,0.12053070153095574,0.4008730659054966,0.318313311696781,0.39489580319936224,0.34372994806953305,0.3569012637068656,0.2744879550637651,0.20676159438590488,0.18587879177451158,0.10395515948159956,0.0563818261381626,0.43846635867670347,0.2438903637722488,0.3910109513682195,0.28955058484848484,0.3370255978627916,0.3569012637068656,-0.019875665844073964,0.39489580319936224,0.3910109513682195,0.0038848518311427327,0.4444444444444444,0.625,-0.18055555555555558,1488.3245142624169,1562.0263940541654,-73.70187979174852,4.71326750448833,9.403536804308798,5.168689407540395,0.9355834829443446,1.341633752244165,0.39306374853951154,2.9871378504672896,9.930981308411216,3.4328621495327107,0.5733076640997432,1.184193925233645,0.592684511901267,1.7261296540210407,-0.5274445041024176,0.15743982701051995,211.0,220.0,9.0,51.0,,0,85.0,,0,,,55.0,88.0,33.0,0.0,1,1,0,,,5.5,0.4705112722856044,,3,1,1,2,0.996,,,,,,,,,,,,,,0.9090909090909092,1.8197606787109517,-0.9106697696200425,,2.2222222222222223,,0.12675273431283954,0.11438343288265675,0.012369301430182791,,0.13001704223690655,,,93.7,,,,,1.68217112854039,1.0067419199523124,0.6754292085880775,,,,10.262433052062988,-1.0,0,1,3.0,val,0.4002,0.4502,0.1496,5.938000202178955,0.5498
